"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Eastern Region","Bugisu","Namisindwa District","Lwakhakha Town Council","Kyaterekera Clinic","AUNXCR5lfl7","""""","","","PFP","Private"
"Eastern Region","Bugisu","Namisindwa District","Lwakhakha Town Council","Kyaterekera Domiciliary Clinic","B2kCGShrnuE","""""","Functional","Clinic","PNFP","CBO"
"Western Region","Bunyoro","Kagadi District","Kyaterekera Subcounty","Kyaterekera HC III","aVULsV9e3Gf","{""type"": ""Point"", ""coordinates"": [30.60432, 0.97334]}","Functional","HC III","GOV","MOH"
"Western Region","Bunyoro","Masindi District","Pakanyi Subcounty","Kyatiri HC III","g8JZTLexaAr","{""type"": ""Point"", ""coordinates"": [31.874558, 1.789215]}","Functional","HC III","GOV","MOH"
"Western Region","Bunyoro","Masindi District","Pakanyi Subcounty","Kyatiri Mary Mother Of the Church HC III","aWC5dU1Xvwh","{""type"": ""Point"", ""coordinates"": [31.874558, 1.789215]}","Functional","HC III","PNFP","UCMB"
"Central Region","North Central","Kassanda District","Kitumbi Subcounty","Kyato HC II","IKZjsjGvotC","""""","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rukungiri District","Eastern Division (Rukungiri MC)","Kyatoko HC II","TRn2nv6UTWb","{""type"": ""Point"", ""coordinates"": [29.94167, -0.778786]}","Functional","HC II","PNFP","NGO"
"Central Region","South Central","Gomba District","Kyayi Subcounty","Kyayi HC III","tPiPaWz3TIK","{""type"": ""Point"", ""coordinates"": [31.395894, 0.21922]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Kiboga District","Kapeke Subcounty","Kyayimba Epi Centre HC II","ArbUlowwE1y","{""type"": ""Point"", ""coordinates"": [31.78446, 0.92676]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Gomba District","Kyayi Subcounty","","lTvwHHfan86","""""","","","",""
"Central Region","South Central","Lwengo District","Kyazanga Town Council","Kyazanga HC IV","VhOO7DL9Y39","{""type"": ""Point"", ""coordinates"": [31.31989, -0.38311]}","Functional","HC IV","GOV","MOH"
"Central Region","South Central","Lwengo District","Kyazanga Subcounty","Kyazanga Prisons HC II","yjHtPXYW0ir","""""","Functional","HC II","GOV","UPS"
"Central Region","South Central","Wakiso District","Wakiso Subcounty","Kyebando Doctors Clinic HC II","LD6a5BtbBcN","""""","Functional","HC II","PFP","Private"
"Western Region","Bunyoro","Kibaale District","Kyebando Subcounty","Kyebando HC III","vgRXnM3VETo","{""type"": ""Point"", ""coordinates"": [31.087276, 0.912129]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Kyebando Health Clinic HC II","gZ4Iz3QkH9w","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Wakiso Subcounty","Kyebando Nursing Home HC III","DKkXEo4zUy7","{""type"": ""Point"", ""coordinates"": [32.51147, 0.36433]}","","HC III","PFP","Private"
"Central Region","South Central","Kyotera District","Kyebe Subcounty","Kyebe HC III","xP2J8wszUrR","{""type"": ""Point"", ""coordinates"": [31.66765, -0.93048]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Sembabule District","Lwemiyaga Subcounty","Kyeera HC II","urgl3LzkV6U","{""type"": ""Point"", ""coordinates"": [31.060775, 0.159177]}","Functional","HC II","PNFP","UCBHCA"
"Eastern Region","Busoga","Kamuli District","Namwendwa Subcounty","Kyeeya HC II","QQ48OF4SR47","{""type"": ""Point"", ""coordinates"": [33.22789, 0.96756]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kyegegwa District","Kyegegwa Town Council","Kyegegwa HC IV","xLXQrhFHr7A","{""type"": ""Point"", ""coordinates"": [31.05375, 0.48415]}","Functional","HC IV","GOV","MOH"
"Western Region","Tooro","Kyegegwa District","Kyegegwa Town Council","Kyegegwa Prison HC II","JfA83mUfpl0","""""","Functional","HC II","","UPS"
"Western Region","Bunyoro","Kikuube District","Kabwoya Subcounty","Kyehoro HC III","pa2KemeFZTD","{""type"": ""Point"", ""coordinates"": [30.93968, 1.50593]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Sheema District","Kitagata Subcounty","Kyeibanga HC II","CJElkDJPuqa","{""type"": ""Point"", ""coordinates"": [30.19985, -0.64164]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Mitooma District","Mutara Subcounty","Kyeibare HC II","glMMXpdO8uT","{""type"": ""Point"", ""coordinates"": [30.07106, -0.67284]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Kiruhura District","Kikatsi Subcounty","Kyeibuza (St. Mary'S) HC III","fn3zMtuYbmL","{""type"": ""Point"", ""coordinates"": [30.89682, -0.36945]}","Functional","HC III","PNFP","UCMB"
"Western Region","Ankole","Sheema District","Kasaana Subcounty","Kyeihara HC II","k4NnCKx6UY9","{""type"": ""Point"", ""coordinates"": [30.21031, -0.72749]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Ibanda District","Kagongo Division","Kyeikucu HC II","Wjo1U23CeOJ","{""type"": ""Point"", ""coordinates"": [30.42947, -0.11764]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Isingiro District","Kabingo Subcounty","Kyeirumba HC III","uEUAoZHJzu0","{""type"": ""Point"", ""coordinates"": [30.75417, -0.75016]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Bushenyi District","Central Division (Bushenyi Ishaka MC)","Kyeizooba Farmers Clinic","UoFAab7MNAo","{""type"": ""Point"", ""coordinates"": [30.26962, -0.56587]}","Functional","Clinic","PFP","Private"
"Western Region","Ankole","Bushenyi District","Kyeizooba Subcounty","Kyeizooba HC III","aL6mherCqRW","{""type"": ""Point"", ""coordinates"": [30.26962, -0.56587]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Kiboga District","Kyekumbya Subcounty","Kyekumbya HC II","yw4DRWUv1oK","{""type"": ""Point"", ""coordinates"": [31.85892, 0.86493]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Kiboga District","Kyekumbya Subcounty","","sWvzmmhD6xC","""""","","","",""
"Central Region","South Central","Lyantonde District","Lyakajura Subcounty","Kyemamba HC II","InypOoNC7U0","{""type"": ""Point"", ""coordinates"": [31.27454, -0.14047]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kyenjojo District","Kyembogo Subcounty","Kyembogo Holy Cross HC III","RHw7crtljAa","{""type"": ""Point"", ""coordinates"": [30.57817, 0.823962]}","Functional","HC III","PNFP","UCMB"
"Eastern Region","Busoga","Bugiri District","Nankoma Subcounty","Kyemeire HC II","ar6iOa5kNV5","{""type"": ""Point"", ""coordinates"": [33.665485, 0.53621]}","Functional","HC II","PNFP","CBO"
"Western Region","Tooro","Kasese District","Nyamwamba Division","Kyemihoko HC II","PryeJSoBxSs","""""","Functional","HC II","PFP","Private"
"Western Region","Tooro","Kamwenge District","Nkoma KatalyebaTown Council","Kyempango HC III","IuEvYABA8eB","""""","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kasese District","Isango Subcounty","Kyempara HC II","DWFZOBH1pRV","{""type"": ""Point"", ""coordinates"": [29.74796, 0.00024]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Rakai District","Byakabanda Subcounty","Kyempewo HC II","Tx5FyPUZlLM","""""","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kitagwenda District","Mahyoro Subcounty","Kyendangara Medical Centre","ytXydLyucAl","""""","Functional","HC II","PFP","Private"
"Western Region","Ankole","Kazo District","Engari Subcounty","Kyengando HC II","gqt1SeJ4Lir","""""","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Kyengera Town Council","Kyengera HC III","avaBAqrl0Df","{""type"": ""Point"", ""coordinates"": [32.49891, 0.29525]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Wakiso District","Kyengera Town Council","Kyengera Nursing Home Clinic","adP0T5wGv6D","""""","","","PFP","Private"
"Central Region","South Central","Wakiso District","Kyengera Town Council","Kyengera Treatment Centre HC III","WXWk3uwBplM","""""","","HC III","PFP","Private"
"Central Region","South Central","Wakiso District","Masuliita Subcounty","Kyengeza HC II","FqWVV6B3ZmB","{""type"": ""Point"", ""coordinates"": [32.32001, 0.49716]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kyenjojo District","Kyenjojo Town Council","Kyenjojo Hospital","DVWgXBCqWXD","{""type"": ""Point"", ""coordinates"": [30.639296, 0.61659]}","Functional","Hospital","GOV","MOH"
"Western Region","Tooro","Kyenjojo District","Kyenjojo Town Council","Kyenjojo Police HC II","aQ7USWbUHsH","""""","Functional","HC II","GOV","UPF"
"Western Region","Tooro","Kyenjojo District","Kyenjojo Town Council","Kyenjojo Prison HC II","odJGvwu2B5W","""""","Functional","HC II","","UPS"
"Central Region","South Central","Lyantonde District","Kinuuka Subcounty","Kyenshama HC II","S2jW7eA0Oe0","{""type"": ""Point"", ""coordinates"": [31.09413, -0.17057]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rubanda District","Muko Subcounty","Kyenyi HC II","ikI1GDwtNnW","""""","Functional","HC II","PNFP","NGO"
"Western Region","Ankole","Rubirizi District","Kirugu Subcounty","Kyenzaza HC II","jBqnMmDxLII","{""type"": ""Point"", ""coordinates"": [30.108017, -0.199816]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Serere District","Kyere Subcounty","Kyere HC III","zm7m09FNPYA","{""type"": ""Point"", ""coordinates"": [33.59933, 1.48539]}","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Serere District","Kyere Subcounty","Kyere Mission","qmIXnGwbmHP","{""type"": ""Point"", ""coordinates"": [33.60014, 1.48245]}","Functional","","PNFP","NGO"
"Western Region","Kigezi","Rukiga District","Bukinda Subcounty","Kyerero HC II","sBBTrshNwgt","{""type"": ""Point"", ""coordinates"": [30.08128, -1.14939]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Kayunga District","Wabwoko-Kitimbwa Subcounty","Kyerima Parents Clinic","gVbTVmhIEvp","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Bugisu","Sironko District","Zesui Subcounty","Kyesha HC II","apShjfH5dpp","{""type"": ""Point"", ""coordinates"": [34.33445, 1.10447]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Kanungu District","Kanungu Kayonza Subcounty","Kyeshero HC II","NrvjmfD3fPN","{""type"": ""Point"", ""coordinates"": [29.61391, -0.90863]}","Functional","HC II","PNFP","NGO"
"Central Region","North Central","Mukono District","Nakisunga Subcounty","Kyetume Cbhc HC III","meCVGgjsn0F","{""type"": ""Point"", ""coordinates"": [32.76934, 0.31462]}","Functional","HC III","PNFP","NGO"
"Central Region","South Central","Lwengo District","Lwengo Subcounty","Kyetume HC III","w53Iyr73JjT","{""type"": ""Point"", ""coordinates"": [31.68109, -0.31302]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Luwero District","Luwero Subcounty","Kyevunze HC II","al4RYwQs9ej","{""type"": ""Point"", ""coordinates"": [32.527444, 0.728274]}","Functional","HC II","PFP","Private"
"Western Region","Ankole","Buhweju District","Rwengwe Subcounty","Kyeyare HC II","loYUJYilHdx","{""type"": ""Point"", ""coordinates"": [30.31764, -0.3057]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Nakasongola District","Kakooge Subcounty","Kyeyindula HC II","M8DBbHXqZuI","{""type"": ""Point"", ""coordinates"": [32.52593, 1.07824]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Isingiro District","Kikagate Subcounty","Kyezimbire HC II","D8FP89iQcBM","{""type"": ""Point"", ""coordinates"": [30.69019, -1.0128]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Kabale District","Kaharo Subcounty","Kyobugombe HC II","say5alYHaR7","{""type"": ""Point"", ""coordinates"": [30.06409, -1.14448]}","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Mayuge District","Kigandalo Subcounty","Kyoga HC II","qIZ5LRWbGhE","{""type"": ""Point"", ""coordinates"": [33.58785, 0.40103]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rukiga District","Kamwezi Subcounty","Kyogo HC III","TsDWptFDnmn","{""type"": ""Point"", ""coordinates"": [30.170901, -1.209423]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Jinja District","Budondo Subcounty","Kyomya HC II","k0sbMy2mOFw","{""type"": ""Point"", ""coordinates"": [33.17279, 0.54733]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Bundibugyo District","Kasitu Subcounty","Kyondo (Bundibugyo) HC II","oyfr6zwE7bz","{""type"": ""Point"", ""coordinates"": [30.18744, 0.79814]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kasese District","Kyondo Subcounty","Kyondo HC III","aDb2aA9qRxt","{""type"": ""Point"", ""coordinates"": [29.935851, 0.09658]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Kiboga District","Kyoomya Subcounty","Kyoomya HC II","adH912aeJav","{""type"": ""Point"", ""coordinates"": [31.96961, 0.75972]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Kiboga District","Kyoomya Subcounty","","HvbfYWkJwO5","""""","","","",""
"Central Region","Kampala","Kampala District","Nakawa Division","Kyosiima Maternity and Nursing Home HC II","JfOziLe4rAv","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Kyotera District","Kyotera Town Council","Kyotera Med. Centre HC III","io8JhubppQo","{""type"": ""Point"", ""coordinates"": [31.53592, -0.6361]}","Functional","HC III","PNFP","CBO"
"Central Region","South Central","Kyotera District","Kyotera Town Council","Kyotera Muslim HC III","aA955wcOAKu","{""type"": ""Point"", ""coordinates"": [31.54293, -0.63232]}","Functional","HC III","PNFP","UMMB"
"Central Region","North Central","Mukono District","Central Division (Mukono MC)","Kyungu HC II","aOqDzfL80Nt","{""type"": ""Point"", ""coordinates"": [32.74076, 0.31834]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Lab Care Plus Limited HC II","sfIELwbR36m","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Ndejje Division","Labian Medical Centre HC II","ptxlYr62NSB","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Amuru District","Amuru Subcounty","Labongogali HC III","Tvayfd3cIU2","{""type"": ""Point"", ""coordinates"": [32.01734, 2.81765]}","Functional","HC III","GOV","MOH"
"Northern Region","Acholi","Pader District","Pajule Town Council","Labora Clinic","tR6T1FslkZe","""""","Functional","Clinic","PFP","Private"
"Northern Region","Acholi","Gulu District","Palaro Subcounty","Labworomor HC III","ltWFhjfI6qF","{""type"": ""Point"", ""coordinates"": [32.36515, 3.11752]}","Functional","HC III","GOV","MOH"
"Western Region","Bunyoro","Kiryandongo District","Bweyale Town Council","Lacor Allied Medical Centre","KNlNSSvSXQc","""""","Functional","Clinic","PFP","Private"
"Northern Region","Acholi","Omoro District","Omoro Town Council","Lacor Opit HC III","uGfXrLtYv7J","""""","Functional","HC III","PNFP","UCMB"
"Northern Region","Acholi","Amuru District","Pabbo Town Council","Lacor-Pabbo HC III","FNTxj1oKTQd","{""type"": ""Point"", ""coordinates"": [32.12607, 3.00217]}","Functional","HC III","PNFP","NGO"
"Northern Region","Acholi","Pader District","Awere Subcounty","Lagile HC II","go1XRnoCBUU","{""type"": ""Point"", ""coordinates"": [32.85343, 2.72885]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Kitgum District","Mucwini Subcounty","Lagot HC II","GYYFVZOZ3gz","{""type"": ""Point"", ""coordinates"": [33.13221, 3.39078]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Pader District","Laguti Subcounty","Laguti HC III","ynatvEoBz7A","{""type"": ""Point"", ""coordinates"": [32.82044, 3.07246]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kasese District","Lake Katwe Subcounty","Lake Katwe Prison Clinic","OHSQd2FWUzu","""""","Functional","HC II","","UPS"
"Eastern Region","Teso","Serere District","Labor Subcounty","Lake Kyoga Falher Nursing Home","SSAwZ2qobSu","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Nwoya District","Purongo Town Council","Lakony Medcal Centre","fOcpxbnY878","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Omoro District","Koro Subcounty","Lakwatomer HC II","qKVewTpVtG6","{""type"": ""Point"", ""coordinates"": [32.41589, 2.69829]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Kitgum District","Lagoro Subcounty","Lakwor HC II","qDsAKcIKGZy","""""","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Kitgum District","Orom Subcounty","Lalekan HC II","Kz91AKphExv","""""","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Gulu District","Laliya Subcounty","","AqI7h2H7UpY","""""","","","",""
"Eastern Region","Teso","Soroti District","Lalle Subcounty","Lalle HC II","KabGzoH7k7H","{""type"": ""Point"", ""coordinates"": [33.4584, 1.67979]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Soroti District","Lalle Subcounty","","ymDNKEa4xSu","""""","","","",""
"Northern Region","Acholi","Omoro District","Lalogi Subcounty","Lalogi HC IV","Dxbu2QPZahI","{""type"": ""Point"", ""coordinates"": [32.56665, 2.63611]}","Functional","HC IV","GOV","MOH"
"Northern Region","West Nile","Moyo District","Moyo Subcounty","Lama HC II","WHVbek1utH5","{""type"": ""Point"", ""coordinates"": [31.6566, 3.63128]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Masaka District","Bukakata Subcounty","Lambu HC II","OpHCVPDEaBb","{""type"": ""Point"", ""coordinates"": [31.94083, -0.33334]}","Functional","HC II","PNFP","UPMB"
"Central Region","South Central","Wakiso District","Nansana Division","L & A Medical Centre","eOfvfLs052N","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Mayuge District","Mayuge Town Council","Lameka Clinic HC II","nOaWaKxKCpC","""""","Functional","Clinic","PFP","Private"
"Western Region","Ankole","Kazo District","Burunga Subcounty","Lamezia HC III","EJSR69XSWFB","{""type"": ""Point"", ""coordinates"": [30.890397, 0.127995]}","Functional","HC III","PNFP","UCMB"
"Northern Region","Acholi","Agago District","Lamiyo Subcounty","Lamiyo HC II","gEJIdy608EI","{""type"": ""Point"", ""coordinates"": [33.05513, 2.80738]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Lamwo District","Lamwo Town Council","Lamwo Prison HC II ","EsNOJ2SO3pj","""""","Functional","HC II","","UPS"
"Northern Region","Acholi","Omoro District","Lakwana Subcounty","Lanenober HC III","ede2KlZ1gtL","{""type"": ""Point"", ""coordinates"": [32.41954, 2.63485]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Apac District","Atik Division","Langi Onote-Wunu-Ba Clinic","wr8WYcvc3PG","""""","Functional","Clinic","PFP","Private"
"Northern Region","Acholi","Nwoya District","Alero Subcounty","Langol HC II","w4z6Vt9nkBs","{""type"": ""Point"", ""coordinates"": [32.11649, 2.7428]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Agago District","Lira Palwo Subcounty","Lanyirinyiri HC II","o919aB1NWyq","{""type"": ""Point"", ""coordinates"": [33.143829, 2.809988]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Omoro District","Koro Subcounty","Lapainat HC III","EsXcenXz99W","{""type"": ""Point"", ""coordinates"": [32.35757, 2.72746]}","Functional","HC III","GOV","MOH"
"Northern Region","Acholi","Gulu District","Unyama Subcounty","Lapeta HC II","FvZUwmuSrzB","{""type"": ""Point"", ""coordinates"": [32.3254, 2.82892]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Agago District","Lukole Subcounty","Lapirin HC III","FHLViw9IqR6","{""type"": ""Point"", ""coordinates"": [33.27589, 2.86372]}","Functional","HC III","GOV","MOH"
"Northern Region","Acholi","Pader District","Lapul Subcounty","Lapul HC III","UUt3ZtL1hIJ","{""type"": ""Point"", ""coordinates"": [32.72934, 2.88716]}","Functional","HC III","GOV","MOH"
"Northern Region","Acholi","Pader District","Atanga Subcounty","Lapulocwida HC II","lgz0xxaxfhr","""""","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Gulu District","Laroo Division","Laroo HC III","elqHQKpMveQ","{""type"": ""Point"", ""coordinates"": [32.32477, 2.78843]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Moyo District","Laropi Subcounty","Laropi HC III","X00gYQ3tjMD","{""type"": ""Point"", ""coordinates"": [31.77739, 3.55631]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Lase Medical Centre HC II","vADDVPkl23t","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Pader District","Latanya Subcounty","Latanya HC II","kBBhLlLFodJ","{""type"": ""Point"", ""coordinates"": [33.05957, 3.1142]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Pader District","Latanya Subcounty","Latigi HC II","Z0euhskPX5T","""""","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Nwoya District","Got Apwoyo Subcounty","Latoro HC II","u3JBwviodwN","{""type"": ""Point"", ""coordinates"": [31.64553, 2.56871]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Nansana Division","Lavendar Medical Clinic","RSm0frcjORw","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Pader District","Lapul Subcounty","Lawire HC II","CADR9HaNyWH","{""type"": ""Point"", ""coordinates"": [32.88803, 3.00013]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Pader District","Atanga Subcounty","Lawiyeadul HC II","hhz818sQTkO","{""type"": ""Point"", ""coordinates"": [32.69518, 2.9678]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Gulu District","Layibi Division","Layibi Techo HC III","n8DIemz1Xoh","{""type"": ""Point"", ""coordinates"": [32.29213, 2.74853]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Amuru District","Layima Subcounty","","gvrKZ1wFDGc","""""","","","",""
"Northern Region","Acholi","Agago District","Omiya Pachwa Subcounty","Layita HC II","gvwYnobdOdM","{""type"": ""Point"", ""coordinates"": [33.41484, 3.2746]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Arua District","Logiri Subcounty","Lazebu HC II","FYGQP2EBKuP","{""type"": ""Point"", ""coordinates"": [30.92861, 2.72912]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Lead Medical Clinic HC II","IzHAT0Q3SiO","""""","Functional","HC II","PFP","Private"
"Northern Region","West Nile","Moyo District","Lefori Subcounty","Lefori HC III","Lw8YR0FJdCr","{""type"": ""Point"", ""coordinates"": [31.58325, 3.56045]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Arua District","River Oli Division","Legacy Clinic","J0OhKiuR995","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","South Central","Bukomansimbi District","Kibinge Subcounty","Legacy Medical Center HC II","JWY3IEK3xHs","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bugisu","Sironko District","Legenya Subcounty","","kNZwnww3bHN","""""","","","",""
"Northern Region","Acholi","Omoro District","Bobi Subcounty","Lela-Obaro HC II","tbLOoJ5HpgT","{""type"": ""Point"", ""coordinates"": [32.27662, 2.58128]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Bunamwaya Division","Le Memorial Medical Services Hospital","fx2DCieN3Bc","""""","Functional","Hospital","PFP","Private"
"Northern Region","Karamoja","Nakapiripirit District","Moruita Subcounty","Lemusui HC III","zNvPZ3xCibY","{""type"": ""Point"", ""coordinates"": [34.738303, 1.668888]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Wakiso District","Massajja Division","Let Thy Will Clinic HC II","BZ5oNwnyju6","""""","","HC II","PFP","Private"
"Northern Region","West Nile","Adjumani District","Pakele Subcounty","Lewa HC II","FMgSYqDsfT6","{""type"": ""Point"", ""coordinates"": [31.90513, 3.29406]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Nakawa Division","Lianah Medical Center HC II","WLjKeSkYFio","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Lian Medical Center HC II","JNjEcYxP6y6","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Liberty Clinic HC II","uuLehTDwCMC","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Massajja Division","Liberty Clinic (Massajja) HC II","AxiUAru5x46","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Liberty Medical Centre HC II","MYzCGYUmL4t","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Liberty Medical Centre Lubaga HC II","kyjdLGJVnas","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Liberty Medical Medical Centre Amadeo","FpjUe7xx4uZ","""""","Functional","Clinic","PFP","Private"
"Eastern Region","Busoga","Namayingo District","Banda Subcounty (Namayingo District)","Lico HC III","CnzSBNkUBIH","""""","Functional","HC III","PFP","Private"
"Northern Region","Lango","Kole District","Akalo Subcounty","Life bouse Drug Shop - Kole","bjmC6nOjc6o","""""","Functional","Drug Shop","",""
"Central Region","Kampala","Kampala District","Kawempe Division","Life Bridge Medical Center HC II","DNKbMEbncaG","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Gombe Division","Life Care Centre HC II","kENm07BclW8","""""","Functional","HC II","PFP","Private"
"Western Region","Ankole","Sheema District","Masheruka Town Council","Life care Clinic","CAqcMMoJ4b3","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Care Clinic (Banda) HC II","Hg6pcRkfCNV","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Care Clinic (Bukoto I) HC II","hQ1vVbPZquH","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Life Care Clinic (Kasubi) HC II","PQ7FGuRLFxV","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Wakiso Subcounty","Life Care Clinic (Kyebando) HC II","iLBk7UOu56E","""""","","HC II","PFP","Private"
"Central Region","South Central","Sembabule District","Lwemiyaga Subcounty","Life Care Clinic (Lwemiyaga) HC II","FrYOWW8DfUX","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Life Care Clinic (Makindye I) HC II","T54Xozu3cnH","""""","Non-Functional","HC II","PFP","Private"
"Western Region","Kigezi","Kisoro District","Muramba Subcounty","Life Care Clinic (Muramba) HC II","J0jgFjbFOSi","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Care Clinic (Mutungu) HC II","wpD98s0nv39","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Life Care Clinic (Naguru I) HC II","a0z9K7i9jtg","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Buikwe District","Central Division (Njeru MC)","Life Care Clinic (Njeru) HC II","ZcOXNk0n4sk","""""","Non-Functional","HC II","PFP","NGO"
"Central Region","Kampala","Kampala District","Makindye Division","Life Care Clinic (Nsambya) HC II","rrOj1cQ038T","""""","Non-Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Life Care Consultation","H5GxMwCyqIg","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Life Care Domicilliary Clinic HC II","juZUZaOGaW6","""""","Functional","HC II","PFP","Private"
